IRIS,COMMUNE,population_2021,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75p,pop_15p_active_base,pop_cs1_agriculteurs,pop_cs2_artisans_commerc_chefs_entr,pop_cs3_cadres_prof_intel_sup,pop_cs4_prof_intermediaires,pop_cs5_employes,pop_cs6_ouvriers,pop_cs7_retraites,pop_cs8_autres_sans_activite,pop_nationalite_francaise,pop_etrangers,pop_immigres,pop_menages
173000102,17300,1945.3,158.1,755.9,327.3,298.6,255.1,150.5,1739.0,0.0,95.5,309.3,261.8,206.3,110.3,311.1,444.6,1817.4,127.9,160.4,1945.3
173000103,17300,2406.8,195.3,909.7,380.5,350.3,395.9,175.0,2278.7,0.0,118.8,318.5,432.5,365.1,141.3,412.4,490.1,2289.9,116.9,153.8,2406.8
173000104,17300,3162.2,258.8,992.7,462.7,532.0,536.2,379.8,2971.9,4.0,76.7,397.4,477.7,489.0,209.8,760.7,556.8,3051.3,110.9,171.3,2946.2
173000201,17300,1811.2,128.4,135.9,164.7,252.4,508.5,621.4,1658.9,4.1,57.6,169.0,91.3,81.0,25.7,1051.9,178.2,1761.8,49.4,70.8,1811.2
173000202,17300,3847.1,484.9,428.4,541.6,720.9,1075.8,595.4,3502.9,0.0,200.6,658.2,417.7,242.8,119.4,1462.0,402.3,3776.7,70.4,128.6,3847.1
173000301,17300,2005.6,254.3,241.7,279.6,312.9,500.6,416.5,1742.5,4.1,40.5,130.0,164.9,213.3,153.3,781.9,254.3,1915.0,90.7,129.6,1970.6
173000302,17300,2849.0,464.4,394.4,474.9,562.4,518.4,434.3,2637.4,0.0,92.1,130.6,250.7,549.2,264.5,916.3,434.0,2617.2,231.8,285.5,2709.0
173000401,17300,222.3,30.5,25.6,38.4,48.0,43.0,36.9,201.7,0.0,0.0,9.5,14.2,26.6,43.3,74.9,33.3,213.6,8.8,34.9,222.3
173000402,17300,2645.6,371.7,379.3,514.8,651.1,508.7,220.1,2254.9,0.0,82.2,154.5,318.5,377.2,375.3,574.3,372.9,2525.8,119.8,193.9,2645.6
173000403,17300,3330.2,530.1,490.4,674.8,664.0,531.6,439.3,2656.9,0.0,151.8,239.3,435.8,424.7,291.1,770.8,343.4,3226.4,103.8,166.3,3310.2
173000501,17300,1876.8,401.5,255.9,266.9,334.3,339.0,279.3,1661.1,0.0,42.5,79.7,152.6,319.8,161.2,602.1,303.2,1748.5,128.3,164.0,1876.8
173000502,17300,1025.3,238.4,219.2,171.3,195.0,116.9,84.5,806.5,0.0,15.1,18.6,34.4,156.8,146.8,165.2,269.5,893.0,132.3,171.6,1025.3
173000503,17300,2868.3,666.4,497.3,551.6,463.2,428.7,261.2,2195.3,0.0,80.8,56.0,240.4,453.0,382.0,511.2,472.0,2525.6,342.7,385.2,2868.3
173000504,17300,1762.4,445.0,294.9,292.7,341.2,272.1,116.5,1142.7,0.0,12.2,12.6,83.6,237.1,144.7,282.5,370.1,1523.0,239.4,302.5,1762.4
