Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2615000E3490800,1,CRS3035RES1000mN2615000E3490000,1,CRS3035RES2000mN2614000E3490000,272967,7,1,0.2,1.8,0.2,155575.2,333.4,0.7,2.3,1.6,0.3,0.6,0.5,0,0,0.2,0.3,0.4,0.7,0.7,1.6,1.4,0.7,0.8,0.2,0,0.5,3,17434
CRS3035RES200mN2615000E3491000,0,CRS3035RES1000mN2615000E3491000,0,CRS3035RES2000mN2614000E3490000,649717,107.5,14,3,37,3,2495011,4212,0,48,0,0,2,45,1,0,4,2.5,7,9,7,23,18,17,17,3,0,1,48,17434
CRS3035RES200mN2615000E3491200,0,CRS3035RES1000mN2615000E3491000,0,CRS3035RES2000mN2614000E3490000,649721,189.5,14,5,23,33,2827295,6648,51,25,0,1,73,2,0,51,8,7,21,25.5,16,25,34,14,22,14,3,29,76,17434
CRS3035RES200mN2615000E3491400,0,CRS3035RES1000mN2615000E3491000,0,CRS3035RES2000mN2614000E3490000,649709,39,8,0,16,2,1028547.1,2266,0,21,1,7,7,6,0,0,2,2,0,0,1,5,0,9,11,9,0,1,21,17434
CRS3035RES200mN2615000E3491600,0,CRS3035RES1000mN2615000E3491000,0,CRS3035RES2000mN2614000E3490000,649714,82,18,3,33,2,2119035,4819,0,44,18,6,6,14,0,0,2,0,1,4,4,6,9,19,22,15,0,3,44,17434
CRS3035RES200mN2615000E3491800,0,CRS3035RES1000mN2615000E3491000,0,CRS3035RES2000mN2614000E3490000,649720,149.5,38,4,32,14,3156885.7,7081.3,18,58,50,5,4,15,2,0,4.5,2,12,20,10,21,32,12,24,11,1,13,76,17434
CRS3035RES200mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,649765,251.5,99,4,45,26,4259045.7,11278,82,78,127,11,16,6,0,11,6,4,10.5,15,28,45,35,35,47,25,1,50,160,17434
CRS3035RES200mN2615000E3492200,0,CRS3035RES1000mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,649757,67.5,19,2,18,0,1539467.9,2862,5,30,15,10,6,4,0,5,3,0,4,6.5,2,5,13,11,16,7,0,8,35,17434
CRS3035RES200mN2615000E3492400,1,CRS3035RES1000mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,649746,6,0.3,0.3,1.6,0.3,146564.9,254.3,0.3,1.9,0,0.4,1,0.8,0,0,0,0,0.4,0.6,0.9,0.3,1.8,1.2,0.5,0.3,0,0,2.2,17434
CRS3035RES200mN2615000E3492600,1,CRS3035RES1000mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,649746,16,0.9,0.9,4.1,0.9,390839.7,678.2,0.9,5,0,1.2,2.6,2.1,0,0,0,0,1,1.5,2.5,0.9,4.7,3.3,1.2,0.9,0,0,5.9,17434
CRS3035RES200mN2615000E3492800,0,CRS3035RES1000mN2615000E3492000,0,CRS3035RES1000mN2615000E3492000,649755,70,10,2,29,0,1421341.6,2591,0,30,0,17,12,1,0,0,2,2,3,8,4,9,17,4,11,10,0,1,30,17434
CRS3035RES200mN2615000E3493000,1,CRS3035RES1000mN2615000E3493000,0,CRS3035RES1000mN2615000E3493000,649725,15.5,2.9,0,1.4,2.9,248660.6,582.5,0,7.9,0,5.1,1.4,1.4,0,5.8,0.7,0.7,0.4,2.2,0,2.9,2.2,3.6,1.4,1.4,0,2.9,7.9,17434
CRS3035RES200mN2615000E3494000,1,CRS3035RES1000mN2615000E3494000,0,CRS3035RES1000mN2615000E3494000,649766,4,1,0.1,2.1,0,100102.2,245.2,0.1,2.1,1.5,0,0.6,0.1,0,0,0,0,0.3,0.1,0,0.1,0.3,1,1.4,0.8,0,0.3,2.2,17434
CRS3035RES200mN2615000E3494200,1,CRS3035RES1000mN2615000E3494000,0,CRS3035RES1000mN2615000E3494000,649766,1,0.2,0,0.5,0,25025.6,61.3,0.1,0.5,0.4,0,0.2,0,0,0,0,0,0.1,0,0,0,0.1,0.2,0.4,0.2,0,0.1,0.6,17434
CRS3035RES200mN2615000E3497400,1,CRS3035RES1000mN2615000E3497000,0,CRS3035RES2000mN2614000E3496000,649771,32,0,0,10,0.7,683244.2,1336,0,10.7,4,0,2.7,4,0,0,2,0.7,2,2,2.7,10.6,2.7,6,3.3,0,0,0.7,10.7,17394
CRS3035RES200mN2615000E3497600,0,CRS3035RES1000mN2615000E3497000,0,CRS3035RES2000mN2614000E3496000,649773,46,4,2,12,1,821681.9,2109,0,16,16,0,0,0,0,0,0,2,4,6,4,8,9,4,5,4,0,3,16,17394
CRS3035RES200mN2615000E3497800,1,CRS3035RES1000mN2615000E3497000,0,CRS3035RES2000mN2614000E3496000,649771,8,0,0,2.5,0.2,170811,334,0,2.7,1,0,0.7,1,0,0,0.5,0.2,0.5,0.5,0.7,2.6,0.7,1.5,0.8,0,0,0.2,2.7,17394
