name,address,postal_code,COMMUNE,nom_commune,domain_code,domain,subdomain_code,subdomain,type_code,type,geoloc_quality_code,longitude,latitude
CAMPING MUNICIPAL LA PETITE CABANE,7 PL DU PORT EMBARCADERE LES CAPUCINES,85420,85132,MAILLÉ,G,Tourisme,G1,Tourisme,G103,CAMPING,_Z,-0.79422,46.34097
ORIGINAL VELO TOUR,3 RUE DU GROS NOYER,85420,85132,MAILLÉ,G,Tourisme,G1,Tourisme,G104,INFORMATION TOURISTIQUE,11,-0.77712,46.34065
BRIGADE DE PROXIMITÉ D'AIGREFEUILLE-D'AUNIS,24 AV DES MARRONNIERS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A1,Services publics,A104,GENDARMERIE,11,-0.94064,46.11544
AIGREFEUILLE-D'AUNIS,2 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A1,Services publics,A129,MAIRIE,11,-0.9344,46.11584
DÉCHÈTERIE DE AIGREFEUILLE D'AUNIS,RUE DU VIEUX FIEF,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A1,Services publics,A133,DÉCHÈTERIE,11,-0.94179,46.12048
CAISSE LOCALE DE CREDIT AGRICOLE,3 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",11,-0.93442,46.11574
CAISSE REG CREDIT AGRICOLE MUTUEL 17-79,3 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",11,-0.93442,46.11574
CAISSE FEDERALE DU CREDIT MUTUEL OCEAN,15 RUE DU CHATEAU D EAU,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",22,-0.93801,46.10799
CAISSE DE CREDIT MUTUEL D'AIGREFEUILLE,15 RUE DU CHATEAU D EAU,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A203,"BANQUE, CAISSE D’ÉPARGNE",22,-0.93795,46.10709
FUNECAP OUEST,26 RUE D AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A205,SERVICES FUNÉRAIRES,11,-0.93552,46.11497
AIGREFEUILLE D AUNIS BP,PL DE LA RENAISSANCE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A2,Services généraux,A206,BUREAU DE POSTE,12,-0.93478,46.11712
CHOUCROUN RONAN,32 AV DE LA GARE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.9452,46.10826
CHARBONNEAU CHRISTOPHE,65 C ZI LES GRANDS CHAMPS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,21,-0.97081,46.11262
MB CONCEPT,RUE JEAN MERMOZ,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.94689,46.10202
PYRONNEAU PASCAL,25 LES GRANDS CHAMPS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.97319,46.11332
LB AUTO,11 RUE DU FIEF GIRARD,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.94687,46.10256
ROBIN WESLET,69 AV DE LA GARE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A301,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,11,-0.94693,46.10378
CTA,ZAC FIEF GIRARD,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A302,CONTRÔLE TECHNIQUE AUTOMOBILE,11,-0.94638,46.10299
DODIN JULIEN,16 RUE DES CIGOGNES,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A304,ÉCOLE DE CONDUITE,11,-0.92928,46.10968
NINOCCO,8 PL DE LA REPUBLIQUE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A3,Services automobiles,A304,ÉCOLE DE CONDUITE,11,-0.93378,46.11626
DEVINEAU THIERRY,PANONNIERE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,33,-0.93562,46.11078
ATLANTIQUE APPLICATIONS,58 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.93587,46.11125
GALVAN VINCENT,14 RTE DE PUYVINEUX,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.94648,46.10887
GEORGES WILFRIED,8 QUEREUX DES FRENES,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.94545,46.11327
EG MACONNERIE,7 RUE DE FRACE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A401,MAÇON,11,-0.92915,46.11922
BEAU CAROLINE,35 RUE DES ARTISANS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.93224,46.11547
GUINAUDEAU RODRIGUE,6 LOT RUE DES COURLIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.92723,46.11159
RENAUD DAVID,8 RUE DE LA GRANDE RAISE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.9436,46.11728
DIOUF MATAR,ZI DES GRANDS CHAMPS LOCAL 38 D,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,22,-0.92417,46.13192
EG PEINTURE,7 RUE DE FRACE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.92915,46.11922
INOVE FACADE,10 RUE DU VIEUX FIEF,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.94188,46.11612
PLATRERIE DU LITTORAL,2 RTE DU FIEF BERLAND,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.94527,46.10628
KABACHE SARAH,2 RUE DES COURLIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.92697,46.11186
LOUIS MICKAEL,4 RES DU VIEUX MOULIN,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.94332,46.11888
PELLETIER SEBASTIEN,4 RUE DE LAQUET,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.92708,46.11312
BONIN CAMILLE,43 RUE DES ORMES,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.9419,46.11046
MARSAUD ALEXANDRE,13 RUE DU FIEF DE SOUBISE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.9355,46.10929
TELNOFF NICOLAS,78 RUE DE FRACE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.9176,46.12298
MILCENT GUILLAUME,60 RUE DE FRACE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.92031,46.12149
BEAU CAROLINE,8 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.935,46.11596
ZOSER BAT,1 RUE DES BOUCHERS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.933,46.11705
CHALARD SEBASTIEN,22 AV DE LA GARE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A402,PLÂTRIER PEINTRE,11,-0.94385,46.11064
L'ATELIER,45 ZI DES GRANDS CHAMPS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.97298,46.113
VERRIERE JACKY,43 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.93547,46.1111
ATEGIA CONSTRUCTION,LE GUE D AIGREFEUILLE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,33,-0.92339,46.12112
RIVIERE BERTRAND,20 RUE DU CORMIER,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.92563,46.10891
EG MENUISERIE,7 RUE DE FRACE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.92915,46.11922
SAGOT NICOLAS,9 RUE DU FIEF BROCHAIN,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A403,MENUISIER CHARPENTIER SERRURIER,11,-0.93644,46.10675
REIMBERT PATRICK,44 RUE DES ARTISANS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.93161,46.11536
JEAN PATRICK,13 RUE DE LA PLANTERIE,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.92559,46.10843
HELIORE,44 RUE DE L AUNIS,17290,17003,AIGREFEUILLE-D'AUNIS,A,Services aux particuliers,A4,Artisanat du bâtiment,A404,PLOMBIER COUVREUR CHAUFFAGISTE,11,-0.93581,46.11317
