idINS,distance,tt_bike,tt_car,tt_walk,tt_transit,part_transit,walktime
CRS3035RES200mN2627000E3471000,31796.70757276021,198.0019189538143,52.33323462171729,287.006775565321,58.91238661710027,0.3983013705120751,19.56629888475836
CRS3035RES200mN2631800E3475000,36519.49974509322,232.51972342594993,56.68506245220496,327.39487212167654,31.79591836734694,0.0015613051236298798,31.79591836734694
CRS3035RES200mN2631800E3491000,37492.49752592254,249.0260539779587,57.64976309790192,351.5124754430746,25.43783783783784,0.0019435427106642682,25.43783783783784
CRS3035RES200mN2636200E3487400,39454.79524831685,235.83653283247136,67.66174748755967,332.3795126353789,NA,NA,NA
CRS3035RES200mN2608400E3468000,30212.685760033055,194.80149527400445,45.648894685191884,272.0138939104385,77.18254536161513,0.5052683229172047,12.985244058267314
CRS3035RES200mN2617400E3477400,28443.194656888423,202.18107647983237,52.84049240440021,283.8066134101624,13.229007633587786,0.00857778941854374,13.229007633587786
CRS3035RES200mN2620600E3465800,25525.61687318448,149.18370497186405,43.16984044568556,216.59592203308975,64.10059856639651,0.5696945033047536,27.456565756090363
CRS3035RES200mN2620600E3467000,25475.894424413604,155.05785339237485,42.88822779430519,221.81540380845354,69.51793191782849,0.5565715695817286,30.46506478151635
CRS3035RES200mN2623200E3475200,33387.81482305289,219.33247093806006,52.81867456480257,307.4193933576054,68.7098488292794,0.41198300183795566,13.356419072516495
CRS3035RES200mN2623200E3475800,33718.986808539965,222.38313837244007,54.162296325236184,311.9155539723759,69.62579563537182,0.40438489646772185,13.024661854967029
CRS3035RES200mN2627600E3461600,32824.791815278455,205.8106394386554,42.353439634473276,299.9669324195165,47.24194937144825,0.47379770147096534,21.391613569829484
CRS3035RES200mN2629800E3466400,28867.970439930323,184.57971526986498,48.94410173798017,263.7411365630689,55.452928641678504,0.4794048694877739,12.261271992132011
CRS3035RES200mN2629800E3467200,30983.740897667813,199.54243708191188,52.30461702825092,282.8263667156333,62.432826098285474,0.4659277155240442,19.378685705352023
CRS3035RES200mN2638800E3468000,28507.145168933057,189.26183536033795,53.59068391654589,264.9885128440766,20.111111111111114,6.461525207127791e-4,20.111111111111114
CRS3035RES200mN2613800E3492800,37154.10520693893,244.22027069051666,68.18038372611849,344.75221406454875,19.126126126126124,0.0105058207926013,19.126126126126124
CRS3035RES200mN2613800E3495200,37650.68998873636,252.26817730073478,69.71422513748081,356.1731928708656,23.272727272727273,2.9152587292122093e-4,23.272727272727273
CRS3035RES200mN2617000E3468400,25216.681434043945,158.6034447466154,45.706129192619294,219.9422171535514,67.27667274760198,0.49691493405854376,18.910110045312784
CRS3035RES200mN2620200E3489000,37132.901956607675,251.44848816805157,63.704125206666056,354.8838207102224,12.551724137931036,5.883009260668026e-4,12.551724137931036
CRS3035RES200mN2629400E3459800,33279.24647120093,212.7643157302429,45.005124091611094,311.285476552492,52.708479034041666,0.40057705891508133,18.436271257359714
CRS3035RES200mN2632400E3495400,36511.22943361717,245.49233582899979,58.61977481854043,346.5347202377542,NA,NA,NA
CRS3035RES200mN2632600E3464800,29253.774844741147,191.81383565833744,51.06113275795577,268.2014841017594,66.71739930108515,0.4338204981581712,11.35585494451597
CRS3035RES200mN2638000E3489200,38701.059474671725,236.85934959349566,67.67545966228884,333.7177235772356,11.894736842105264,2.3764853033145727e-4,11.894736842105264
CRS3035RES200mN2638200E3476600,35566.95490793254,230.7272040360822,57.879103505998195,325.29824235097135,20.817391304347833,0.00802101739049565,20.817391304347833
CRS3035RES200mN2610600E3481800,31173.881054087233,200.60344191763969,60.27516902274119,281.3717271051015,NA,NA,NA
CRS3035RES200mN2613400E3465600,29241.90581947579,172.5863090705177,50.86435069160794,253.05901167218198,64.07858457040602,0.549367929883832,26.57402273357357
CRS3035RES200mN2613400E3465800,29344.992644838956,174.29116008452905,50.68935422784521,254.67751186980254,66.19893804406097,0.5375442544666128,23.592076174916393
CRS3035RES200mN2613400E3466000,29457.595460207613,174.20649134948096,51.38708650519031,253.71810380622838,66.21011921476527,0.5421868512110727,16.231238352947173
CRS3035RES200mN2613400E3466400,29456.84700297896,174.41253932459148,52.302820234416465,253.3185361507844,69.66862379700304,0.5452963612572734,19.02138207438798
CRS3035RES200mN2613400E3467600,29857.41132196026,187.02160884288543,43.59113155708901,264.3723468149,80.37868527435178,0.496287777138841,26.626188943533244
CRS3035RES200mN2625400E3459400,36238.014003473785,232.32655232305672,50.18976335214931,338.2352583586621,49.23410169991879,0.44126139817629184,21.453096017122196
CRS3035RES200mN2627200E3467800,37201.56190967188,237.3663317218373,53.883067614758424,342.18585060747245,61.79248486638122,0.39529974806182755,26.306132191544876
CRS3035RES200mN2629200E3478600,34798.67760074977,228.87950640424867,57.552920962199316,322.2720608143289,6.4363636363636365,5.72737686139748e-4,6.4363636363636365
CRS3035RES200mN2638200E3490400,40294.06598752518,241.89950148110782,63.183428461334955,341.0787154107383,26.193548387096776,7.465741877995353e-4,26.193548387096776
CRS3035RES200mN2607800E3491800,37056.21050367392,234.4677955018671,65.83569941321227,329.495242028462,NA,NA,NA
CRS3035RES200mN2621800E3479200,29197.349396425525,197.49212728930164,53.63652937764143,276.4877489572111,87.93195105370489,0.4063423662329771,33.16008157715841
CRS3035RES200mN2622000E3463400,30885.524126414744,193.87442637145153,40.58388273857381,280.4597192157833,41.36128810056828,0.502801657492733,19.075086718000424
CRS3035RES200mN2626800E3460400,31556.688448185665,200.2936105959005,45.88027298235602,293.26291197032384,45.0680951560924,0.483295287011937,21.68551255873455
