idINS,km_pa,f_i,ind_18_64,IRIS,COMMUNE
CRS3035RES200mN2608600E3491400,12626.127974451021,1.7202119874918662,2.6,174570000,17457
CRS3035RES200mN2608600E3492600,13181.615405590219,1.4555639892596295,2.2,174570000,17457
CRS3035RES200mN2608600E3492800,12890.820667057365,3.4404239746134473,5.199999999999999,174570000,17457
CRS3035RES200mN2608600E3493800,11909.053330572713,1.3949716960991674,2.2,170630000,17063
CRS3035RES200mN2608800E3467200,10626.36501480401,0.9883521907398954,1.2999999999999998,174830000,17483
CRS3035RES200mN2608800E3467400,9806.587007176451,3.2691649388590434,4.3,174830000,17483
CRS3035RES200mN2608800E3467600,9780.518407962129,4.670273982033609,6.2,174830000,17483
CRS3035RES200mN2608800E3467800,9091.037838948765,37.61185257432981,51,174830000,17483
CRS3035RES200mN2608800E3468000,9470.938112409352,8.207878535594674,10.8,174830000,17483
CRS3035RES200mN2608800E3486000,12442.054582252762,2.302541193146221,3.2,173400000,17340
CRS3035RES200mN2608800E3487800,13498.823274868135,2.5383003036846485,3.2,171740000,17174
CRS3035RES200mN2608800E3488800,12955.818893802123,0.7277819945929993,1.1,174570000,17457
CRS3035RES200mN2608800E3489400,12718.170801307231,1.0585919921218594,1.6,174570000,17457
CRS3035RES200mN2608800E3489800,12388.78600851769,7.145495947575466,10.8,174570000,17457
CRS3035RES200mN2608800E3490000,12388.13941229485,9.26267993191813,14,174570000,17457
CRS3035RES200mN2608800E3490200,10392.768921938887,9.06419393405561,13.700000000000001,174570000,17457
CRS3035RES200mN2608800E3490400,10927.210411995551,0.4631339966317071,0.7,174570000,17457
CRS3035RES200mN2608800E3491000,12434.152950602953,1.2570779908594123,1.9000000000000001,174570000,17457
CRS3035RES200mN2608800E3492600,12719.978554912474,0.7939439941537366,1.2000000000000002,174570000,17457
CRS3035RES200mN2608800E3492800,12842.267707514591,4.8959879639382935,7.3999999999999995,174570000,17457
CRS3035RES200mN2608800E3493800,11591.612761569499,3.9312838708252333,6.199999999999999,170630000,17063
CRS3035RES200mN2608800E3494000,11138.469258588875,7.101674089232742,11.2,170630000,17063
CRS3035RES200mN2608800E3496000,12651.810833744243,16.48602913572214,26,170630000,17063
CRS3035RES200mN2608800E3496200,10021.261772719237,3.804468262063019,6,170630000,17063
CRS3035RES200mN2609000E3467800,9473.986916310545,1.885828248705896,2.5,174830000,17483
CRS3035RES200mN2609000E3477000,11198.743056136116,1.2126002739962538,1.8,171070000,17107
CRS3035RES200mN2609000E3477800,11980.691089102316,0.8115954403042713,1.2000000000000002,171070000,17107
CRS3035RES200mN2609000E3485800,10813.788541622682,7.4832588777149125,10.399999999999999,173400000,17340
CRS3035RES200mN2609000E3486000,12169.607434465026,15.68606187463148,21.799999999999997,173400000,17340
CRS3035RES200mN2609000E3489800,12420.835335463707,3.506585974467761,5.3,174570000,17457
CRS3035RES200mN2609000E3490000,11399.096716724813,2.8449659793133235,4.3,174570000,17457
CRS3035RES200mN2609000E3490400,10583.120186854303,8.33641193935743,12.600000000000001,174570000,17457
CRS3035RES200mN2609000E3490600,10640.98866352453,4.7636639653547155,7.2,174570000,17457
CRS3035RES200mN2609000E3494000,12231.114793460767,1.0145248697728015,1.5999999999999999,170630000,17063
CRS3035RES200mN2609000E3496200,9521.53417664695,1.8388263266688711,2.9000000000000004,170630000,17063
CRS3035RES200mN2609000E3499000,11588.917886063226,1.7754185223085304,2.8,170630000,17063
CRS3035RES200mN2609000E3499200,11724.830766306552,0.31703902184080895,0.5,170630000,17063
CRS3035RES200mN2609200E3485800,10164.266530260846,2.374495605428533,3.3,173400000,17340
